VP code,Munufacturer,Brand,Status,Cost
10-314,SurgiMac-AirSeries,Air Series,Active,0
10-370,SurgiMac-AirSeries,Air Series,Active,0
SM150S,House Brand,House Brand,Active,0
SM151S,House Brand,House Brand,Active,0
4258-1,Dynarex,House Brand,Active,0
640-776,Generic Brand,House Brand,Out of stock,0
13-1404 HB,SurgiMac-EcoSeries,House Brand,Active,0
5213DD,SurgiMac-MacSoft,House Brand,Active,0
5214DD,SurgiMac-MacSoft,House Brand,Active,0
DD5215,SurgiMac-MacSoft,House Brand,Active,0
SM-3116,SurgiMac-MacSoft,House Brand,Active,0
SM-3117,SurgiMac-MacSoft,House Brand,Active,0
SM-3118,SurgiMac-MacSoft,House Brand,Active,0
13-1156 HB,SurgiMac-ProSeries,House Brand,Active,0
10-312-s-HB,SurgiMac-SlimSeries,House Brand,Active,0
SM16-552,House Brand,House Brand,Active,0
8900SA-10,Covidien / Kendall Healthcare,Kendall Phlebotomy Containers,Active,0
01S0530,Septodont,R.T.R.,Active,0
SFR 87529-B-N-PF-DD,Mexpo International,Safari,Active,0
13-1152,SurgiMac-EcoSeries,SurgiMac,Out of stock,0
13-1255,SurgiMac-EcoSeries,SurgiMac,Inactive,0
759142-1,Xttrium Labs,Xttrium Labs,Out of stock,0
6240-1,Nurse Assist,SteriCare,Active,0.54
M3010-DD,SurgiMac-MacSafe,House Brand,Out of stock,0.7
6122-1,Dukal Corporation,Dukal,Active,0.72
6122-1,Dukal Corporation,Dukal,Active,0.72
12-1301-S-HB,SurgiMac-AirSeries,House Brand,Active,0.8
12-812-E,SurgiMac-EcoSeries,House Brand,Active,0.8
12-906-E,SurgiMac-EcoSeries,House Brand,Active,0.8
10-312s-HB,SurgiMac-SlimSeries,House Brand,Active,0.8
65-675,House Brand,House Brand,Active,0.8
Q48060,Quala,Quala,Active,0.82
Q48058,Quala,Quala,Active,0.82
Q48060-HB,House Brand,House Brand,Out of stock,0.83
9651-24,Gojo,Purell Advanced,Active,0.95
SU503,SurgiMac-MacCut,House Brand,Out of stock,1
11-689-HB,SurgiMac-SlimSeries,House Brand,Active,1
13-1355-HB,House Brand,House Brand,Active,1
11-699-HB,House Brand,House Brand,Active,1
11-696-HB,House Brand,House Brand,Active,1
13-1154-HB,House Brand,House Brand,Active,1
DD-GB2626-2019,"Guangzhou Powecom Labor Insurance Supplies Co., LTD",Powecom,Out of stock,1
28-100100,J. Morita,Silk Line,Active,1
055-55,SurgiMac-EcoSeries,House Brand,Active,1.05
10-1551-10/pk-Knitt Cuff,SurgiMac-MacSafe,House Brand,Active,1.195
12-1911-P-HB,House Brand,House Brand,Active,1.2
6260-1,Nurse Assist,Nurse Assist,Active,1.22
P71520-1,PDI,Sani-Hands,Active,1.24
11-611s-HB,SurgiMac-EcoSeries,House Brand,Active,1.25
A9020G-1-HB,House Brand,House Brand,Active,1.25
6270-1,Nurse Assist,Nurse Assist,Active,1.25
A9020G-1,Safe-Dent,Safe-Dent,Active,1.25
SM-MI316,Cardinal Health,House Brand,Active,1.28
Mac20-6r HB,House Brand,House Brand,Active,1.45
Mac20-7r HB,House Brand,House Brand,Active,1.45
40-306,House Brand,House Brand,Active,1.45
16-2515,House Brand,House Brand,Active,1.5
16-2515-HB,House Brand,House Brand,Out of stock,1.5
16-2522-HB,House Brand,House Brand,Active,1.5
DENT40-1,New World Imports,Freshmint,Active,1.52
TBDEN-12,Dukal Corporation,DawnMist,Active,1.57
A500F48-1,PDI,Hygea,Active,1.63
4460-1,Dynarex,Dynarex,Active,1.72
8584,Cargus,MARK3,Active,1.76
8900SA,Covidien / Kendall Healthcare,Kendall Phlebotomy Containers,Active,1.79
10-4115C-HB,House Brand,House Brand,Active,1.85
VXR-A,3D Dental,3D Dental,Active,1.95
VXR-BW,3D Dental,3D Dental,Active,1.95
VXR-P,3D Dental,3D Dental,Active,1.95
STP-7002-B-1-HB,House Brand,House Brand,Active,1.95
STP-7002-B-1,Safe-Dent,Safe-Dent,Active,1.95
305487-1,BD,BD Sharps Collector,Active,2
10-354s-HB,SurgiMac-EcoSeries,House Brand,Active,2
MC-10-4115C-HB,SurgiMac-MacCut,House Brand,Active,2
11-603-SD-HB,House Brand,House Brand,Active,2
11-631-HB,House Brand,House Brand,Active,2
11-631-HB-HB,House Brand,House Brand,Active,2
10-512-B-HB,House Brand,House Brand,Active,2
12-1930-HB,House Brand,House Brand,Active,2
